¿Cómo te llamas?,What's your name ?,My name is Pedro
¿Cuál es tu apellido?,What's your last name?,Guavita Rojas
¿De dónde eres?,Where are you from?,"I'm from Bogota, Colombia"
¿A qué te dedicas?,What do you do?,I'm am Programmer
¿Donde trabajas?,Where do you work?,I work in an office
¿Cómo se llama tu jefe?,What's your boss' name?,His name Orlando
¿Disfrutas tu trabajo?,Do you enjoy your job?,"Yes, I do. But it's a lot of work sometimes"
¿Cuántos años tienes?,How old are you?,I'm 25 years old
¿Te gusta vivir en España?,Do you like living in Spain?,"Yes, I do. It's a beautiful country"
¿Estás casado?,Are you married?,"No, I'm not"
¿Tienes novio?,Do you have a boyfriend?,"Yes, I have a boyfriend. Her name is Orlando and he's very beautiful"
¿Tienes hermanos?,Do you have any brothers or sisters?,"Yes,I do. I have a brother and a sister"
¿Qué estás haciendo?,Whar are you doing?,I'm reading a book
¿Dónde vives?,Where do you live?,I live in an apartment in the center
¿Cuál es tu dirección?,What's your address?,I live at calle Vicente Andres Estelles 14
¿En qué barrio vives?,What neighborhood do you live in?,I live in Santa Isabel. It's really nice
"¿vives en una casa, o un piso?","Do you live in a house, or a flat?",It´s a flat
¿Qué tamaño tiene tu casa?,How big is your house?,"It's a little small, but I like it"
¿Tienes compañeros de piso?,Do you have any flatmates?,"No, I don't"
¿Vives sólo?,Do you live alone?,Yes. But my boyfriend comes a lot
¿Cuantas habitaciones tienes?,How many bedrooms do you have?,"Just one, but it's enough"
¿Cómo estás?,How are you?,"Fine, thanks. And you?"
¿Cómo te sientes?,How do you feel?,"I feel okay. A little spleepy, but fine"
¿Qué pasa?,What's up?,Not much
¿Estás bien?,Are you okay?,"No, I'm not. I think I hurt myself"
¿Cúal es el problema? ¿Qué te pasa?,What's wrong?,I've got a terrible headache
¿Te sientes mejor?,Are you feeling better?,"Yeah, I'm fine. Alot better than yesterday"
¿Necesitas ir al médico?,Do you need to go to the doctor?,I don't think so. I'm just goint to lie down for a minute
¿Puedo tomar un cáfe?,Can I have a coffe?,"Yeah, I'd love some"
¿Te gusta el vino blanco?,Do you like white wine?,Not much. I prefer red
¿Cuál es tu grupo de música favorito?,What's your favorite band?,I really like Nirvana
¿Cuál es tu comida faborita?,What's your fovorite food?,"I like a lot of different foods, but my favorite is Bandeja Paisa"
¿Qué tipo de música te gusta?,What kind of music do you like?,I like rock music
¿Dónde vas de vacaciones?,Where do you usually go on vacation?,"Mi parents have a house in the mountains, so I usually go there"
"¿Prefieres ir a la playa, o a la montaña?",Do you prefer going to the beach or to the mountains?,"I prefer the beach, but really I like both"
¿Tienes mascotas?,Do you have any pets?,"Yeah, I have a cat. What about you?"
¿Podrías repetirlo?,Could you please repeat that?,"I said ""it's down the stairs and to the left"""
¿Podrías hablar más lento?,Could you please speak slower?,"Sure. You're not from around here, are you?"
Lo siento. No te he entendido. ¿Podrías decirlo otra vez?,I'm sorry. I didn't understand you. Could you say that again?,No problem. I was just explaining
¿podría deletrearlo?,Could you please spell that?,Sure. W-E-L-S-C-H
¿Qué hora es?,What time is it?,It's four fifteen
!Perdona! ¿Dónde está la estación de autobuses?,Excuse me! Where's the bus station?,Down this street on the left
¿Podrías ayudarme?,Could you please help me?,Maybe. What do you need?
¿Cuánto mides?,How tall are you?,I'm about 6 feet tall
¿Cuánto tiempo llavas viviendo aquí?,How long have you been living here?,I've been living here for 3 years
¿Qué estudiasa en la universidad?,What did you study at university?,I studied desing. What about you?
¿Qué vas a hacer este fin de semana?,What are you going to do this weekend?,I'm going to my friend Tom's birthday party
¿Tienes hambre?,Are you hungry?,"Yeah, I am."
¿Adónde vas?,Where are you going?,To the supermarket. Do you need anything?
¿Con quien vives?,Who do you live with?,I live with my brother
